Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2021,Aceh,Kab. Aceh Barat,"36,605.67","2,044.00",5.58,"20,363.35",55.63,"22,407.35",61.21,,,0,P 2
2021,Aceh,Kab. Pidie,"59,243.73",,,"5,114.74",8.63,"5,114.74",8.63,,,0,P 1
2021,Aceh,Kab. Gayo Lues,"14,757.24","1,278.83",8.67,"8,405.95",56.96,"9,684.78",65.63,"1,277.50",,8.66,P 2
2021,Aceh,Kab. Aceh Jaya,"17,001.52",14.64,0.09,"11,698.25",68.81,"11,712.89",68.89,,,0,P 2
2021,Aceh,Kota Banda Aceh,"90,765.86","13,935.87",15.35,"74,863.84",82.48,"88,799.71",97.83,"13,840.91",,15.25,P 2
2021,Aceh,Kota Langsa,"33,883.32","8,875.43",26.19,"19,341.90",57.08,"28,217.33",83.28,540.96,77.2,1.82,P 2
2021,Aceh,Kota Subulussalam,"16,529.21",,,"14,600.00",88.33,"14,600.00",88.33,,,0,P 2
2021,Sumatera Utara,Kab. Tapanuli Tengah,"66,644.80",162.5,0.24,"12,045.00",18.07,"12,207.50",18.32,,,0,P 2
2021,Sumatera Utara,Kab. Tapanuli Utara,"46,799.13",282.65,0.6,"25,294.50",54.05,"25,577.15",54.65,,,0,P 2
2021,Sumatera Utara,Kab. Langkat,"189,685.76","2,618.91",1.38,"30,116.15",15.88,"32,735.06",17.26,"2,618.91",186.15,1.48,P 2
2021,Sumatera Utara,Kab. Karo,"82,781.59","4,331.83",5.23,"24,884.97",30.06,"29,216.80",35.29,"1,172.76",,1.42,P 2
2021,Sumatera Utara,Kab. Deli Serdang,"408,129.86","56,976.17",13.96,"152,774.40",37.43,"209,750.57",51.39,"52,617.12","1,226.40",13.19,P 2
2021,Sumatera Utara,Kab. Simalungun,"189,456.90","52,445.31",27.68,"70,092.78",37,"122,538.09",64.68,31.32,12.78,0.02,P 2
2021,Sumatera Utara,Kab. Asahan,"170,300.09","1,715.50",1.01,"22,414.65",13.16,"24,130.15",14.17,182.5,,0.11,P 2
2021,Sumatera Utara,Kab. Dairi,"45,079.54",,,"9,636.00",21.38,"9,636.00",21.38,,0,0,P 1
2021,Sumatera Utara,Kab. Toba,"31,170.85","2,242.88",7.2,"11,541.30",37.03,"13,784.18",44.22,113.94,,0.37,P 2
2021,Sumatera Utara,Kab. Samosir,"34,248.22","1,387.00",4.05,"11,070.45",32.32,"12,457.45",36.37,"1,204.50",116.8,3.86,P 1
2021,Sumatera Utara,Kota Medan,"645,012.56","65,475.77",10.15,"328,500.00",50.93,"393,975.77",61.08,"57,322.22",,8.89,P 2
2021,Sumatera Utara,Kota Pematang Siantar,"85,052.00","17,481.60",20.55,"63,510.00",74.67,"80,991.60",95.23,"12,891.82","2,555.00",18.16,P 2
