Tahun,Provinsi,Kabupaten/Kota,Luas Wilayah (km2)(A),Luas RTH (km2)(B),% RTH(B/A),Taman Kota (km2),Hutan Kota (km2),Jalur hijau di Jalan (km2),Sempadan Sungai (km2),Sempadan Pantai (km2),Tempat Pemakaman Umum (km2),Sempadan Rel Kereta Api (km2),Jalur Hijau Jaringan Listrik Tegangan Tinggi (km2),Pengaman Sumber_Air Baku Mata Air (km2),Kebun Bibit (km2),Lain-lain (km2)
2021,Aceh,Kab. Aceh Selatan,"4,173.82",,,-,-,-,-,-,-,-,-,-,-,-
2021,Aceh,Kab. Aceh Timur,"6,040.60",0.0757,0,0.05,0.03,-,-,-,-,-,-,-,-,-
2021,Aceh,Kab. Aceh Tengah,"4,527.53",1.11217,0.02,0.32,0.02,0.02,0.6,0.15,0.01,-,-,-,-,-
2021,Aceh,Kab. Aceh Barat,"2,927.95",0.02902,0,0.01,0.01,0,0,0,0,-,-,-,-,-
2021,Aceh,Kab. Aceh Besar,"2,903.50",,,-,-,-,-,-,-,-,-,-,-,-
2021,Aceh,Kab. Pidie,"3,184.45",0.21488,0.01,0.21,-,-,-,-,-,-,-,-,-,-
2021,Aceh,Kab. Simeulue,"1,838.09",0.06226,0,0.03,-,0.03,-,-,-,-,-,-,-,-
2021,Aceh,Kab. Aceh Singkil,"1,857.88",697.58337,37.55,0.31,-,-,689.45,1.38,1.97,-,-,-,-,4.49
2021,Aceh,Kab. Bireuen,"1,798.00",,,-,-,-,-,-,-,-,-,-,-,-
2021,Aceh,Kab. Aceh Barat Daya,"188,205.00",0.70084,0,0.7,-,-,-,-,-,-,-,-,-,-
2021,Aceh,Kab. Gayo Lues,"5,549.91",1.10381,0.02,-,0.32,0.06,0.23,-,-,-,-,-,-,0.5
2021,Aceh,Kab. Aceh Jaya,"3,727.00",0.8222,0.02,0.13,-,0.11,0.18,0.4,-,-,-,-,-,-
2021,Aceh,Kab. Aceh Tamiang,"1,957.02",,,-,-,-,-,-,-,-,-,-,-,-
2021,Aceh,Kab. Bener Meriah,1.94,0.002,0.1,0,-,-,-,-,-,-,-,-,-,-
2021,Aceh,Kab. Pidie Jaya,952.11,,,-,-,-,-,-,-,-,-,-,-,-
2021,Aceh,Kota Banda Aceh,59.02,8.30634,14.07,1.02,0.28,0.67,1.3,4.61,0.34,-,-,-,-,0.07
2021,Aceh,Kota Sabang,122.13,0.00754,0.01,0.01,-,-,-,-,-,-,-,-,-,-
2021,Aceh,Kota Langsa,239.83,75.15228,31.34,55.07,0.75,13.51,5.46,0.05,0.32,-,-,-,-,-
2021,Aceh,Kota Subulussalam,"1,391.00",0.2,0.01,0.2,-,-,-,-,-,-,-,-,-,-
2021,Sumatera Utara,Kab. Tapanuli Tengah,"2,194.98",0.00058,0,0,0,-,-,-,-,-,-,-,-,-
2021,Sumatera Utara,Kab. Tapanuli Utara,"3,793.71",0.00092,0,0,0,-,-,-,-,-,-,-,-,-
2021,Sumatera Utara,Kab. Tapanuli Selatan,"4,355.35","3,300.75",75.79,0.4,0.2,-,520,-,-,-,-,-,0.9,"2,779.25"
