Time,Time Code,Provinces Name,Provinces Code,Household Access to safe Sanitation (in % of total Household) [HOU.STA.ACSN.ZS],Household Access to Safe Water (in % of total household) [HOU.H2O.ACSN.ZS]
2017,YR2017,"Badung, Kab.",ID.BA.BD,87.34457397,93.89833069
2017,YR2017,"Bangli, Kab.",ID.BA.BN,63.49982452,60.21157074
2017,YR2017,"Buleleng, Kab.",ID.BA.BL,72.08798981,79.20904541
2017,YR2017,"Denpasar, Kota",ID.BA.DE,86.87832642,98.04702759
2017,YR2017,"Gianyar, Kab.",ID.BA.GI,84.21615601,93.62512207
2017,YR2017,"Jembrana, Kab.",ID.BA.JE,75.4152832,68.31035614
2017,YR2017,"Karangasem, Kab.",ID.BA.KA,55.21086884,66.75799561
2017,YR2017,"Klungkung, Kab.",ID.BA.KL,78.55432892,81.34228516
2017,YR2017,"Tabanan, Kab.",ID.BA.TA,83.69886017,96.23225403
2017,YR2017,"Cilegon, Kota",ID.BT.CL,89.397995,83.34436035
2017,YR2017,"Lebak, Kab.",ID.BT.LE,61.95492172,33.9513092
2017,YR2017,"Pandeglang, Kab.",ID.BT.PA,57.74147034,40.23023224
2017,YR2017,"Serang, Kab.",ID.BT.SE,70.70082092,62.55469894
2017,YR2017,"Serang, Kota",ID.BT.SR,79.69824219,75.92910767
2017,YR2017,"Tangerang Selatan, Kota",ID.BT.TS,97.68592072,80.05462646
2017,YR2017,"Tangerang, Kab.",ID.BT.TM,85.35411072,77.32509613
2017,YR2017,"Tangerang, Kota",ID.BT.TN,89.98496246,87.71642303
2017,YR2017,"Bengkulu Selatan, Kab.",ID.BE.BS,77.53808594,40.7971611
2017,YR2017,"Bengkulu Tengah, Kab.",ID.BE.BT,77.36520386,35.70701981
2017,YR2017,"Bengkulu Utara, Kab.",ID.BE.BU,78.09010315,40.58100128
2017,YR2017,"Bengkulu, Kota",ID.BE.BE,92.11302185,83.85012054
2017,YR2017,"Kaur, Kab.",ID.BE.KA,70.68708801,27.49677658
2017,YR2017,"Kepahiang, Kab.",ID.BE.KE,83.60877991,45.72986984
2017,YR2017,"Lebong, Kab.",ID.BE.LE,58.88940048,40.24438477
2017,YR2017,"Mukomuko, Kab.",ID.BE.MU,84.4943924,57.21213913
