Level,Provinces Name,Provinces Code,Time,Time Code,Household Access to Safe Water (in % of total household),Household Access to safe Sanitation (in % of total Household)
"Bali, Prop.","Badung, Kab.",ID.BA.BD,2011,YR2011,87.51771,72.22292
"Bali, Prop.","Badung, Kab.",ID.BA.BD,2012,YR2012,80.98,71.62
"Bali, Prop.","Badung, Kab.",ID.BA.BD,2013,YR2013,89.67256927,71.13690186
"Bali, Prop.","Badung, Kab.",ID.BA.BD,2014,YR2014,90.00823212,74.20944977
"Bali, Prop.","Badung, Kab.",ID.BA.BD,2015,YR2015,93.22479248,77.16684723
"Bali, Prop.","Badung, Kab.",ID.BA.BD,2016,YR2016,94.78231049,81.96598053
"Bali, Prop.","Badung, Kab.",ID.BA.BD,2017,YR2017,93.89833069,87.34457397
"Bali, Prop.","Badung, Kab.",ID.BA.BD,2018,YR2018,94.56349945,86.86062622
"Bali, Prop.","Badung, Kab.",ID.BA.BD,2019,YR2019,98.01856232,83.59667206
"Bali, Prop.","Badung, Kab.",ID.BA.BD,2020,YR2020,95.1370697,81.15886688
"Bali, Prop.","Bangli, Kab.",ID.BA.BN,2011,YR2011,55.99829,37.81865
"Bali, Prop.","Bangli, Kab.",ID.BA.BN,2012,YR2012,71.45,41.21
"Bali, Prop.","Bangli, Kab.",ID.BA.BN,2013,YR2013,64.62621307,50.69680786
"Bali, Prop.","Bangli, Kab.",ID.BA.BN,2014,YR2014,62.91068268,50.70666122
"Bali, Prop.","Bangli, Kab.",ID.BA.BN,2015,YR2015,73.89756775,58.41080475
"Bali, Prop.","Bangli, Kab.",ID.BA.BN,2016,YR2016,71.92671967,58.25416565
"Bali, Prop.","Bangli, Kab.",ID.BA.BN,2017,YR2017,60.21157074,63.49982452
"Bali, Prop.","Bangli, Kab.",ID.BA.BN,2018,YR2018,81.32924652,59.30740738
"Bali, Prop.","Bangli, Kab.",ID.BA.BN,2019,YR2019,75.63929749,67.87487793
"Bali, Prop.","Bangli, Kab.",ID.BA.BN,2020,YR2020,66.61811066,69.5098877
"Bali, Prop.","Buleleng, Kab.",ID.BA.BL,2011,YR2011,69.45891,63.1966
"Bali, Prop.","Buleleng, Kab.",ID.BA.BL,2012,YR2012,87.9,67.69
"Bali, Prop.","Buleleng, Kab.",ID.BA.BL,2013,YR2013,68.75711823,67.40843964
"Bali, Prop.","Buleleng, Kab.",ID.BA.BL,2014,YR2014,69.80079651,71.8755188
"Bali, Prop.","Buleleng, Kab.",ID.BA.BL,2015,YR2015,85.49562836,70.94790649
"Bali, Prop.","Buleleng, Kab.",ID.BA.BL,2016,YR2016,68.34581757,67.45222473
"Bali, Prop.","Buleleng, Kab.",ID.BA.BL,2017,YR2017,79.20904541,72.08798981
"Bali, Prop.","Buleleng, Kab.",ID.BA.BL,2018,YR2018,79.507164,68.22544098
"Bali, Prop.","Buleleng, Kab.",ID.BA.BL,2019,YR2019,75.10009766,75.68788147
"Bali, Prop.","Buleleng, Kab.",ID.BA.BL,2020,YR2020,78.64065552,84.05554199
"Bali, Prop.","Gianyar, Kab.",ID.BA.GI,2011,YR2011,86.86967,75.14537
"Bali, Prop.","Gianyar, Kab.",ID.BA.GI,2012,YR2012,90.26,67.77
"Bali, Prop.","Gianyar, Kab.",ID.BA.GI,2013,YR2013,95.48589325,70.84455109
"Bali, Prop.","Gianyar, Kab.",ID.BA.GI,2014,YR2014,94.98264313,72.06285858
"Bali, Prop.","Gianyar, Kab.",ID.BA.GI,2015,YR2015,94.34388733,74.94439697
"Bali, Prop.","Gianyar, Kab.",ID.BA.GI,2016,YR2016,91.50041962,80.21750641
"Bali, Prop.","Gianyar, Kab.",ID.BA.GI,2017,YR2017,93.62512207,84.21615601
"Bali, Prop.","Gianyar, Kab.",ID.BA.GI,2018,YR2018,91.07554626,81.32260895
"Bali, Prop.","Gianyar, Kab.",ID.BA.GI,2019,YR2019,94.32544708,82.48428345
"Bali, Prop.","Gianyar, Kab.",ID.BA.GI,2020,YR2020,96.79502869,86.3908844
"Bali, Prop.","Jembrana, Kab.",ID.BA.JE,2011,YR2011,68.83385,58.86676
"Bali, Prop.","Jembrana, Kab.",ID.BA.JE,2012,YR2012,68.22,63.55
"Bali, Prop.","Jembrana, Kab.",ID.BA.JE,2013,YR2013,72.62689972,62.57006454
"Bali, Prop.","Jembrana, Kab.",ID.BA.JE,2014,YR2014,75.82034302,66.37552643
"Bali, Prop.","Jembrana, Kab.",ID.BA.JE,2015,YR2015,70.5045166,66.05863953
"Bali, Prop.","Jembrana, Kab.",ID.BA.JE,2016,YR2016,72.11870575,67.36181641
"Bali, Prop.","Jembrana, Kab.",ID.BA.JE,2017,YR2017,68.31035614,75.4152832
"Bali, Prop.","Jembrana, Kab.",ID.BA.JE,2018,YR2018,66.50453949,72.86798096
"Bali, Prop.","Jembrana, Kab.",ID.BA.JE,2019,YR2019,75.5921936,75.79260254
"Bali, Prop.","Jembrana, Kab.",ID.BA.JE,2020,YR2020,84.42022705,80.93764496
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2011,YR2011,64.28426,41.85226
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2012,YR2012,68.88,40.8
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2013,YR2013,68.14063263,49.53271103
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2014,YR2014,73.12306213,55.33798218
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2015,YR2015,72.01951599,51.03846359
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2016,YR2016,69.72454834,52.94048691
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2017,YR2017,66.75799561,55.21086884
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2018,YR2018,78.3151474,64.78412628
